ImageId,EncodedPixels
test_mask_1,1253 1 1331 1 1456 1 10213 1 10244 1 12415 1 12493 1 13838 1 13963 1 13994 1 14088 1 14213 1 14244 1 16087 1 16383 1 16445 1 16595 1 18375 1 21791 1 22557 1 29541 1 30037 1 30307 1 30535 1 30789 1 31046 1 31288 1 31304 1 47834 1 47990 1
test_mask_2,1253 1 20044 1 20293 1 20538 1 20543 1 21786 1 21788 1 22036 3 22287 3 22537 2 22784 2 22787 1 22789 1 23039 1 23538 2 30038 1 30288 1 30535 1 31288 1 33536 3 33786 1 33788 1 34034 1 34036 1 34038 1 34287 2 34534 2 35038 1 35288 2 38038 1 39800 1 40049 3 43624 1 43628 1
test_mask_3,1253 1 1456 1 13838 1 14088 1 16088 1 16320 2 16841 2 17091 2 17572 1 17593 1 17791 1 17816 4 17827 1 18067 3 18317 4 18324 1 18344 1 18568 3 18572 3 18592 1 18604 2 18787 1 18789 1 18803 1 18816 5 19038 2 19068 3 19308 1 19315 3 19339 1 19536 1 19538 2 19543 1 19558 2 19565 5 19574 1 19600 2 19789 2 19800 1 19807 1 19810 1 19816 2 19819 1 20061 2 20068 1 20088 1 20283 2 20304 2 20307 1 20313 3 20367 1 20548 1 20554 2 20558 4 20563 1 20566 2 20589 1 20598 1 20806 1 20808 5 20815 1 20837 1 20840 1 20842 1 21044 1 21054 3 21058 1 21061 1 21066 1 21093 1 21285 2 21299 1 21303 1 21315 1 21553 1 21555 2 21559 1 21561 2 21567 1 21793 1 21800 5 21811 1 21900 1 21916 1 22036 1 22051 3 22286 1 22297 1 22299 1 22304 2 22307 2 22548 1 22553 1 22557 2 22566 1 22809 2 23060 2 23300 2 23308 2 24548 1 24798 1 25046 1 25552 1 25793 1 26045 1 26301 1 26542 2 27289 1 27536 1 27538 2 28285 2 29536 1 29788 1 30038 1 30535 1 31288 1 31519 1 32026 2 32035 1 32272 1 32528 1 33784 1 33786 1 33788 1 34034 1 34038 1 34535 1 34537 1 35038 1 35288 2 38037 2 43074 1 44069 1 48565 1 48824 1 49822 1 50065 1 50075 1 50567 1 50573 1 50828 1 51002 1 51320 1 51328 1 51820 1 52067 2
test_mask_4,1253 1 13838 1 13843 1 14088 1 14838 1 15084 1 15831 1 15846 1 16087 2 16102 2 16112 1 16119 1 16320 2 16338 1 16340 1 16351 2 16383 1 16570 1 16584 1 16589 1 16601 1 16606 1 16829 1 16834 1 16840 4 16845 1 16873 2 17085 1 17090 4 17108 1 17122 2 17342 2 17346 1 17359 1 17572 1 17592 2 17596 5 17603 1 17624 1 17816 4 17827 1 17834 1 17839 2 17842 2 17845 1 17847 5 17881 1 18067 3 18083 1 18099 2 18131 1 18315 1 18317 5 18343 5 18351 1 18355 1 18375 1 18557 1 18564 1 18568 3 18572 3 18592 1 18595 1 18597 1 18600 2 18603 3 18800 1 18803 1 18815 8 18831 1 18848 1 18856 1 19055 1 19065 1 19068 3 19308 1 19315 3 19320 2 19339 1 19341 1 19345 1 19347 1 19370 1 19378 1 19538 1 19559 1 19565 7 19574 1 19590 2 19598 2 19622 1 19800 1 19810 1 19816 2 19819 2 19843 1 19862 1 19874 1 20056 1 20059 1 20061 2 20064 1 20068 2 20088 1 20119 1 20151 1 20304 2 20307 1 20314 2 20339 1 20414 1 20553 1 20555 2 20558 6 20566 3 20570 1 20579 1 20586 2 20589 1 20592 2 20598 1 20617 1 20620 1 20657 1 20806 1 20809 4 20814 1 20816 1 20821 1 20826 1 20834 1 20837 1 20840 1 20842 1 20845 1 20857 1 20865 1 20868 1 20871 1 20873 1 20904 1 21001 1 21055 2 21058 1 21061 1 21065 3 21075 1 21087 1 21089 1 21093 1 21124 1 21159 1 21299 2 21314 2 21553 1 21556 4 21561 2 21565 4 21576 1 21582 1 21616 1 21786 1 21800 6 21811 1 21817 3 22009 1 22036 1 22039 1 22051 3 22067 2 22287 1 22290 1 22296 2 22302 4 22307 3 22314 1 22316 1 22422 1 22532 1 22538 1 22548 1 22550 1 22553 2 22557 2 22565 3 22785 1 22787 1 22789 1 22800 1 22803 1 22806 1 22808 3 22815 2 23039 1 23048 1 23060 2 23288 1 23301 1 23308 2 23316 1 23540 1 23544 1 23551 1 23793 1 24294 1 24298 1 24548 1 24798 1 24811 1 25046 1 25292 1 25544 1 25552 1 25561 1 25776 1 25786 1 25788 1 25793 1 25802 1 25804 1 26037 1 26045 1 26288 1 26292 1 26301 1 26532 1 26543 1 26550 2 26787 1 26789 1 26793 1 26800 1 27038 2 27286 1 27288 2 27536 1 27538 3 27778 1 27789 1 28012 1 28032 5 28043 1 28262 1 28285 2 28511 1 28751 1 28784 1 28786 1 29033 2 29036 2 29286 1 29536 1 29538 1 29759 1 29785 5 30034 1 30036 4 30282 1 30284 1 30286 3 30534 7 30787 3 31033 2 31038 2 31286 1 31288 2 31539 1 32033 4 32046 1 32286 1 32288 1 32534 1 32786 1 33042 1 33536 1 33538 1 33786 4 34034 1 34037 2 34286 1 34288 1 34290 1 34535 1 34539 1 34788 2 35038 2 35286 1 35288 2 35539 1 36035 2 37536 1 37538 1 37786 4 38032 1 38037 3 38284 2 38287 1 38289 1 38537 1 38539 1 39038 2 39049 1 39052 1 39054 1 39070 1 39298 2 39304 1 39315 1 39554 1 39556 1 39800 1 39802 2 39820 1 40049 6 40059 1 40063 1 40070 1 40298 1 40301 2 40321 1 40324 1 40326 1 40550 1 40552 1 40554 1 40799 2 40803 1 40815 1 41049 1 41052 2 41069 1 41071 1 41074 1 41076 1 41288 1 41298 1 41301 4 41326 2 41551 1 41553 1 41787 1 41789 1 41800 4 41821 1 41823 1 42038 1 42050 2 42053 2 42072 1 42301 1 42318 2 42321 2 42325 1 42334 1 42552 1 42554 1 42571 1 42575 1 42577 1 42800 1 42817 1 42826 2 43061 2 43066 1 43071 1 43073 6 43081 3 43252 1 43313 1 43315 3 43328 1 43333 1 43563 3 43567 1 43569 2 43572 1 43574 1 43576 1 43582 1 43585 1 43814 2 43818 2 43823 1 43825 1 43830 3 43872 1 44064 1 44067 5 44074 1 44076 1 44080 1 44082 2 44313 8 44325 4 44331 5 44560 1 44566 1 44572 2 44575 3 44579 1 44819 1 44826 1 44835 2 45084 2 45820 1 46080 1 46583 1
test_mask_5,1253 1 17822 1 18067 3 18318 2 18569 2 18572 1 18816 1 18818 4 19068 3 19100 1 19316 1 19538 1 19554 1 19558 2 19565 1 19567 4 19632 1 19800 1 19810 1 19812 2 19816 5 19872 1 19879 2 20060 2 20068 1 20284 1 20293 1 20304 2 20307 2 20314 1 20367 1 20377 1 20383 1 20535 1 20538 1 20553 1 20557 7 20566 2 20574 1 20621 1 20626 1 20629 1 20808 3 20816 1 21059 1 21128 1 21300 1 21800 5 22052 2 22303 2 22307 2 22548 1 22553 2 22785 1 22787 1 22789 1 23039 1 23545 1 24522 1 25525 1 27280 1 27288 2 27778 1 28526 2 30284 1 30288 1 30535 1 31288 1 49301 1 49333 1 49550 3 49800 1 49803 1 49835 1 50081 1 50550 1 50589 1 51336 1 51352 1
test_mask_6,1253 1 19567 4 19817 1 19820 1 20068 1 20315 4 20336 1 20414 1 20566 4 21067 1 21315 2 21556 1 21558 2 21800 2 21803 1 21805 3 21818 2 22052 2 22066 2 22302 1 22304 3 22316 1 22548 1 22550 1 22553 2 22557 1 22565 2 22568 2 22800 1 22803 4 22809 2 22816 1 22819 1 23053 3 23060 2 23300 1 23311 2 23550 1 23552 1 23554 2 23559 5 23800 1 23802 1 23805 1 23812 1 24053 2 24298 1 24303 2 24308 1 24548 1 24552 3 24559 1 24798 1 24800 1 24809 1 25050 1 25552 1 25802 1 26051 2 26300 2 26550 1 27289 1 29536 1 29538 1 29786 1 29788 1 30034 1 30036 3 30066 1 30288 1 30316 2 30534 2 31034 1 31314 1 32066 1 32316 2 35289 1 38539 1 39800 1 40053 1 40301 1 40318 1 40567 1 40800 1 40815 1 41068 2 41071 2 41074 2 41304 1 41320 2 41551 1 41800 1 41802 1 41821 1 41823 3 42054 1 42069 1 42072 2 42315 1 42319 2 42322 1 42325 1 42577 1 42816 2 42825 3 42835 1 43070 1 43074 2 43078 1 43083 1 43315 3 43322 1 43333 1 43563 3 43569 2 43572 1 43585 1 43815 1 43818 2 43823 1 43831 1 44063 1 44067 4 44075 1 44082 2 44317 4 44325 3 44332 1 44565 1 44569 1 44580 1 44815 1 44818 2 44830 1 45068 2 45085 1 45317 3 45566 2 45814 7 45822 1 45824 1 45835 1 46065 1 46069 1 46080 1 46315 1 46566 2 46581 1 46583 1
test_mask_7,1253 1 8143 2 8397 1 8427 1 8897 2 8923 1 8928 2 9153 1 9178 1 9394 1 9429 1 9676 1 9921 1 10088 1 10104 1 10131 1 10176 3 10396 1 10427 1 10587 1 10666 1 10674 1 10676 1 10834 1 10897 1 10923 1 10926 1 11081 1 11084 1 11087 1 11144 1 11168 1 11175 1 11320 1 11335 2 11351 1 11417 1 11577 1 11593 1 11601 1 11608 1 11644 1 11676 1 11841 1 11843 1 11852 1 11856 1 11872 1 11903 1 12077 1 12090 1 12093 1 12124 1 12574 2 12587 2 12590 2 12824 1 12839 2 13073 1 13089 1 13324 1 13338 1 13588 1 13590 1 14067 2 14317 1 14569 1 14819 1 14838 1 15069 1 16081 1 16579 1 16585 1 16829 1 16834 2 17079 1 17835 1 18052 1 18083 1 18553 1 18800 1 19332 2 19538 2 21786 1 22036 2 22286 1 22288 1 22537 2 22785 1 22787 1 23039 1 23538 1 24209 1 32265 1 41053 1 41552 1 41801 1 42053 1 45816 1 47128 1 47831 1 47834 1 47866 1 47882 1 48100 1 48131 1 48137 1 48372 1 48381 1 48394 1 48596 1 48628 1 48850 1 48881 2 48887 1 48918 1 49097 1 49114 1 49128 1 49131 1 49145 1 49364 1 49395 1 49601 1 49612 3 49616 1 49621 1 49635 1 49637 1 49643 3 49647 1 49854 1 49866 1 49882 1 49885 1 49893 1 49897 1 50113 1 50131 1 50143 2 50597 3 50628 3 50636 1 50644 1 50891 1 51002 1 51128 1 51352 1 51376 2 51845 1 51851 1 51876 1 51881 1 51887 1 52118 1 52126 1 52131 1 52138 1 52378 1 52386 1 52627 1 52881 1 53129 1 53131 1 53372 1 53380 1 53626 1 53629 2 53632 1 53878 1 54127 2 54629 1 55376 1 55382 1 56170 1 56377 1
test_mask_8,1253 1 13058 1 13806 1 13832 1 13835 1 13837 1 14050 2 14067 1 14302 2 14335 1 14553 2 14557 1 14565 2 14568 1 14585 1 14800 1 14803 2 14807 1 14815 1 14818 2 14835 1 14838 1 14850 1 15050 1 15053 2 15084 1 15100 1 15304 2 15331 1 15581 1 15800 1 15803 2 15832 2 16072 1 16083 1 16085 1 16304 1 16330 1 16548 1 16552 3 16579 1 16585 1 16798 1 16804 1 16826 1 16829 1 16831 1 16833 1 16835 1 17076 1 17081 1 17300 1 17550 1 17580 1 17775 1 17802 1 17835 1 18052 1 18083 1 18301 1 18324 1 18548 1 18551 1 18580 1 18582 1 18585 1 18779 1 18787 1 18800 1 18826 1 18830 2 19276 1 19280 2 19289 1 19331 1 19333 1 19339 2 19531 1 19536 1 19538 2 19546 1 19778 1 19781 1 19790 1 20028 1 20275 1 20284 1 20523 1 20526 2 20535 1 20792 1 20826 1 21034 1 21036 1 21044 1 21278 1 21536 1 21559 2 21788 1 22036 1 22038 1 22284 1 22287 1 22522 1 22534 1 22536 3 22785 2 23037 2 23284 1 23539 1
test_mask_9,1253 1 13838 1 13843 1 15846 1 16087 1 16351 2 16383 1 16584 1 16595 1 16601 1 16829 1 16834 1 16841 2 16845 2 17091 3 17096 1 17593 1 17827 1 17845 1 18067 2 18319 1 18323 2 18569 2 18573 2 18817 3 19070 1 19315 1 19339 1 19341 1 19347 1 19569 2 19663 1 19816 2 19819 2 20068 1 20314 2 20319 1 20563 1 20566 5 20657 1 20660 1 20810 2 20814 3 21061 1 21065 2 21315 1 21556 1 21559 3 21801 1 21809 4 22052 1 22060 1 22307 3 22557 2 22566 1 23308 1 24935 1 26051 1 26301 1 31289 1 39800 1 40327 1 40357 1 40815 1 40827 1 40835 1 40850 1 41074 1 41082 1 41103 1 41105 1 41327 1 41347 1 41599 2 41827 1 41831 1 41833 1 42100 1 42322 1 42350 2 42570 2 42847 1 43106 2 43122 1 43124 2 43134 1 43347 1 43595 2 43600 2 43624 1 43850 2 43872 1 44095 1 44099 3 44350 3 44373 1 44602 1 51002 1
test_mask_10,1253 1 19569 2 19600 2 19820 1 19848 1 20068 1 20315 2 20319 2 20336 1 20567 4 21316 2 21556 1 21559 1 21800 2 21805 3 22052 2 22305 2 22308 1 22553 2 22557 1 22657 1 22803 2 22806 1 22809 1 23054 1 23553 2 23556 1 23560 1 23800 1 23805 1 24303 2 24308 2 24548 1 24554 1 24559 1 25802 1 26298 1 27288 1 27544 1 28285 1 28786 1 29306 1 29309 1 29536 1 29538 1 29556 1 29786 1 29788 2 30034 1 30036 3 30059 1 30286 3 30307 2 30534 2 30539 1 30789 1 31286 1 31288 2 31309 1 31789 1 32036 1 32053 1 32298 1 32303 2 32548 1 33303 1 33538 1 33551 1 33554 1 33786 1 34038 1 34051 1 34288 1 34535 1 35039 1 35288 2 36036 1 38038 1 39052 1 39800 1 40052 3 41053 1 41072 1 41074 1 41302 1 41304 1 41551 3 41800 3 41824 1 42051 1 42053 2 42072 1 42322 1 42817 1 43078 1 43333 1 43564 1 43569 2 43580 1 44068 3 44318 2 44326 1 44577 1
